#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
5   25   45.000000   0.980000   0.978020   5389.397396  4.513086460000e-10   4.513086460000e-10    8.374009427009e-14   8.374009427009e-14   750_set1
5   26   45.000000   1.020000   1.016804   4137.606570  2.315518800000e-10   2.315518800000e-10    5.596275916586e-14   5.596275916586e-14   580_set2
5   26   45.000000   1.020000   1.016929   4138.498387  2.291857820000e-10   2.291857820000e-10    5.537897096201e-14   5.537897096201e-14   580_set1
5   26   45.000000   1.020000   1.017631   5244.412424  2.845068520000e-10   2.845068520000e-10    5.424951910685e-14   5.424951910685e-14   750_set2
5   26   45.000000   1.020000   1.017794   5242.198998  2.845311540000e-10   2.845311540000e-10    5.427706084957e-14   5.427706084957e-14   750_set3
5   26   45.000000   1.020000   1.017629   5238.769926  2.842078680000e-10   2.842078680000e-10    5.425087797604e-14   5.425087797604e-14   750_set1
5   27   45.000000   1.060000   1.056727   4082.195249  1.471437570000e-10   1.471437570000e-10    3.604525213145e-14   3.604525213145e-14   580_set2
5   27   45.000000   1.060000   1.056520   4085.744193  1.474394810000e-10   1.474394810000e-10    3.608632210813e-14   3.608632210813e-14   580_set1
5   27   45.000000   1.060000   1.057259   5094.921957  1.780057060000e-10   1.780057060000e-10    3.493786705711e-14   3.493786705711e-14   750_set2
5   27   45.000000   1.060000   1.057394   5099.176508  1.774985870000e-10   1.774985870000e-10    3.480926512772e-14   3.480926512772e-14   750_set1
5   27   45.000000   1.060000   1.057289   5095.452706  1.772211400000e-10   1.772211400000e-10    3.478025412567e-14   3.478025412567e-14   750_set3
5   28   45.000000   1.100000   1.096138   4051.277115  9.404230510000e-11   9.404230510000e-11    2.321300232754e-14   2.321300232754e-14   580_set1
5   28   45.000000   1.100000   1.096129   4045.410442  9.315236820000e-11   9.315236820000e-11    2.302667913072e-14   2.302667913072e-14   580_set2
5   28   45.000000   1.100000   1.096957   4947.191413  1.111259330000e-10   1.111259330000e-10    2.246242842110e-14   2.246242842110e-14   750_set1
5   28   45.000000   1.100000   1.097008   4950.557840  1.111660240000e-10   1.111660240000e-10    2.245525203277e-14   2.245525203277e-14   750_set2
5   28   45.000000   1.100000   1.096934   4959.028897  1.110098460000e-10   1.110098460000e-10    2.238540010669e-14   2.238540010669e-14   750_set3
5   29   45.000000   1.140000   1.135873   4028.715573  6.057439900000e-11   6.057439900000e-11    1.503566034941e-14   1.503566034941e-14   580_set1
5   29   45.000000   1.140000   1.135862   4032.637461  5.989235070000e-11   5.989235070000e-11    1.485190555294e-14   1.485190555294e-14   580_set2
5   29   45.000000   1.140000   1.136423   4814.329579  7.014454600000e-11   7.014454600000e-11    1.456995098673e-14   1.456995098673e-14   750_set3
5   29   45.000000   1.140000   1.136477   4818.304405  6.998111350000e-11   6.998111350000e-11    1.452401251930e-14   1.452401251930e-14   750_set1
5   29   45.000000   1.140000   1.136323   4821.952287  6.982763440000e-11   6.982763440000e-11    1.448119563278e-14   1.448119563278e-14   750_set2
5   30   45.000000   1.180000   1.171550   4028.129278  3.999165350000e-11   3.999165350000e-11    9.928095833075e-15   9.928095833075e-15   580_set2
5   30   45.000000   1.180000   1.172256   3963.252540  4.015508240000e-11   4.015508240000e-11    1.013185054314e-14   1.013185054314e-14   580_set1
5   30   45.000000   1.180000   1.172380   4704.033857  4.643448120000e-11   4.643448120000e-11    9.871204717394e-15   9.871204717394e-15   750_set1
5   30   45.000000   1.180000   1.172397   4724.104700  4.639367030000e-11   4.639367030000e-11    9.820627028017e-15   9.820627028017e-15   750_set2
5   30   45.000000   1.180000   1.172391   4711.657028  4.614761200000e-11   4.614761200000e-11    9.794348723975e-15   9.794348723975e-15   750_set3
